iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
17,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06151052908749607,0.08338570541378806,0.0017929108746995188,4.6043130621451724e-05
18,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06227205203204337,0.08421705021046048,0.001540375900905439,5.129142872306956e-05
19,0.8933333333333333,0.1534781924429512,1.0,0.0,0.06298887992767856,0.08475335456807392,0.001335062785986544,4.265616913105398e-05
20,0.8933333333333333,0.1534781924429512,1.0,0.0,0.059159490185097405,0.08011008378576259,0.001161626064116655,3.353371271077631e-05
21,0.8933333333333333,0.1534781924429512,1.0,0.0,0.056693617338210434,0.07756913543069001,0.0010360912898880511,2.6525683199418416e-05
22,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05612254665902986,0.07703279259428815,0.0009068617107635209,1.8273889918933628e-05
23,0.8933333333333333,0.1534781924429512,1.0,0.0,0.0544703822416054,0.07548370087700745,0.0008150503791880615,2.1177074895592377e-05
24,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05553800030900489,0.07689812317889354,0.0007341870956311447,1.5316855230091637e-05
25,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05294126834866649,0.07391679020125838,0.0006708851952584103,1.2456742394093682e-05
26,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05174632923666841,0.07339922337596955,0.0006104359822491852,7.931442199987779e-06
27,0.8933333333333333,0.1534781924429512,1.0,0.0,0.052225564888806586,0.07371145869800219,0.0005570915299464598,1.0541502351571441e-05
28,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05042802904937647,0.07151532105538944,0.0005145030832517086,1.1432739855775879e-05
29,0.8933333333333333,0.1534781924429512,1.0,0.0,0.050200089876228815,0.07069577067694538,0.0004720196361533955,1.019242322840134e-05
30,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05015513638194102,0.07016165352776355,0.0004383574952180209,1.1736254754186817e-05
31,0.8933333333333333,0.1534781924429512,1.0,0.0,0.05064219463332433,0.07059476456162503,0.00041086235872841255,1.0995328187264092e-05
32,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04945116210384543,0.06954545887660667,0.0003826266369389926,9.605140428510256e-06
