iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
31,1.0,0.0,1.0,0.0,0.007676802977136424,0.011429023466677998,1.7779696898322375e-05,2.2666612072607814e-06
32,1.0,0.0,1.0,0.0,0.007535828051845802,0.011361787698109456,1.7169934167376346e-05,2.4426702690695947e-06
33,1.0,0.0,1.0,0.0,0.007600891945242742,0.011391187458754464,1.6804638228433428e-05,2.415481362304319e-06
34,1.0,0.0,1.0,0.0,0.007668656716191369,0.011424866614683553,1.6426947670968163e-05,2.5231532029249245e-06
35,1.0,0.0,1.0,0.0,0.0076672656390676264,0.011426162811760343,1.6223094675893356e-05,2.584111819381418e-06
36,1.0,0.0,1.0,0.0,0.007666027892676401,0.011427174659934296,1.6123366709434643e-05,2.621350472526403e-06
37,1.0,0.0,1.0,0.0,0.007615992469504543,0.011403397592801675,1.5771502805269614e-05,2.8274610776988706e-06
38,1.0,0.0,1.0,0.0,0.00761572040994366,0.01140361918348981,1.5677919297936802e-05,2.8798800640267987e-06
39,1.0,0.0,1.0,0.0,0.007615302101854161,0.011403959947532499,1.5598420486274145e-05,2.935413882899686e-06
40,1.0,0.0,1.0,0.0,0.007614645626496212,0.011404494862622022,1.551260711185685e-05,3.0060242137478485e-06
41,1.0,0.0,1.0,0.0,0.007613737076891646,0.011405235445381218,1.5432805190824515e-05,3.0809741332284464e-06
42,1.0,0.0,1.0,0.0,0.007609004897710198,0.011409097841304014,1.5091506292633984e-05,3.4874319152360995e-06
43,1.0,0.0,1.0,0.0,0.007609004897710198,0.011409097841304014,1.5091506292633984e-05,3.4874319152360995e-06
44,1.0,0.0,1.0,0.0,0.007609004897710198,0.011409097841304014,1.5091506292633984e-05,3.4874319152360995e-06
45,1.0,0.0,1.0,0.0,0.007609004897710198,0.011409097841304014,1.5091506292633984e-05,3.4874319152360995e-06
46,1.0,0.0,1.0,0.0,0.007609004897710198,0.011409097841304014,1.5091506292633984e-05,3.4874319152360995e-06
47,1.0,0.0,1.0,0.0,0.007609140105324552,0.011409163992352868,1.5091138006292432e-05,3.4875844296957453e-06
48,1.0,0.0,1.0,0.0,0.007609140105324552,0.011409163992352868,1.5091138006292432e-05,3.4875844296957453e-06
49,1.0,0.0,1.0,0.0,0.007609140105324552,0.011409163992352868,1.5091138006292432e-05,3.4875844296957453e-06
